åé,ì˙,ãCâ∑,ç~êÖó ,ì˙éÀó ,ïóë¨
1,1,7.5,0,11.8,2.6
1,2,7.3,0,11.59,1.9
1,3,9.3,0,10.77,1.4
1,4,9.2,0,11.19,1.6
1,5,10.9,0,10.57,1.8
1,6,8.9,0,4.54,1.9
1,7,8.7,0,7.98,2.5
1,8,6.8,0,10.99,1.8
1,9,7.3,0,11.87,2.1
1,10,7.9,0,11.84,2.2
1,11,7.1,0,7.85,2.2
1,12,3.4,0,1.42,2.1
1,13,4.3,0,10.86,1.7
1,14,6,0,12.09,2
1,15,5.6,0,11.67,2.5
1,16,6.5,0,12.41,1.9
1,17,5.8,3,7.6,2.1
1,18,2.8,67,2.4,3.7
1,19,5.1,0,13.37,4
1,20,4.1,0,13.21,4.3
1,21,5.4,0,10.35,3.1
1,22,5.8,0,12.72,3.1
1,23,3.9,0,4.77,2.5
1,24,3.3,0,14.08,3.6
1,25,2.9,0,14.01,2.9
1,26,3.8,0,12.1,2
1,27,6.3,0,13.79,2.2
1,28,7.8,0,13.33,1.9
1,29,5.4,9.5,1.61,2.6
1,30,3.3,5.5,3.17,2.3
1,31,6.1,0,10.68,1.7
2,1,4.7,0,3.96,2
2,2,6,0,14.31,3.2
2,3,5,0,13.67,2.5
2,4,5.1,0,11.36,2
2,5,7.5,0,14.36,2.2
2,6,6.7,0,7.38,2.6
2,7,5,0,15.34,3.1
2,8,4.4,0,11.37,2.1
2,9,6.6,0,13.76,3.4
2,10,6,0,15.99,5
2,11,6,0,15.85,2.8
2,12,7.2,0,8.68,2.1
2,13,14,0,12.01,3.6
2,14,18.5,12.5,8.89,5.8
2,15,8.1,0.5,3.34,3
2,16,5.6,0,16.12,3.1
2,17,6.2,0,15.62,2.9
2,18,6.2,0,13.09,2.6
2,19,9.7,0,16.05,2.1
2,20,8,40.5,3.2,2.3
2,21,9.5,0,9.87,3.2
2,22,6.7,1.5,6.73,2.8
2,23,6.7,0,4.18,1.6
2,24,5.8,0.5,4.18,3.1
2,25,3.8,0.5,11.21,2
2,26,5.8,0,17.99,2.8
2,27,7.8,0,17.63,4
2,28,8.7,0.5,17.42,3
2,29,8.3,0.5,7.94,2.9
3,1,5.2,0,19.62,4.5
3,2,6.3,0,16.98,2.5
3,3,9.2,0,18.65,1.9
3,4,10.4,0,17.7,2.8
3,5,10.7,0,11.27,2.3
3,6,13.2,2,10.48,3.2
3,7,14.1,31.5,1.47,1.9
3,8,15.8,0,17.61,2
3,9,8.7,21.5,1.33,3.5
3,10,6.1,0,6.06,2.8
3,11,4.6,0,4.15,2.4
3,12,5.8,0,8.32,2.4
3,13,6.7,0,7.22,2.2
3,14,5.7,37,1.96,2.7
3,15,8.1,0.5,21.75,4
3,16,8.7,0,12.12,1.9
3,17,13.1,0,22.01,2.1
3,18,14.8,2,17.95,4.3
3,19,14.9,7.5,4.66,2.9
3,20,13.4,0.5,16.14,3.6
3,21,9.5,0,13.99,2.6
3,22,11,0,20.3,3.1
3,23,11.5,0,15.49,2.9
3,24,6.3,0.5,6.29,2.7
3,25,8.1,0,22.52,2.9
3,26,8,0,17.46,2.7
3,27,10.4,0,16.72,2.3
3,28,11.3,0,10.62,2.4
3,29,13,0,21.35,3.3
3,30,14.9,0,13.73,3
3,31,14.9,0,20.82,3.4
4,1,12.8,2.5,14.38,3.4
4,2,10.5,1.5,4.11,2.2
4,3,13.1,4,4.54,2.7
4,4,15.6,8,9.21,3.2
4,5,10.8,1.5,5.09,2.1
4,6,14.6,0,20.2,2.8
4,7,13.8,33,3.29,2.2
4,8,16.1,0,15.03,2.6
4,9,17.1,0,19.58,3.6
4,10,17.2,0,15.57,2.3
4,11,11.6,0,17.75,3.7
4,12,10.5,0,25.12,3.4
4,13,14.4,1.5,5.62,2.9
4,14,15,20,5.32,2
4,15,16.3,0,26.59,4.4
4,16,15.8,0,16.39,3.3
4,17,19.2,6,7.77,7.2
4,18,18.9,0.5,17.64,3.3
4,19,16.2,0,24.98,3.6
4,20,14.9,0,24.02,3.9
4,21,16.5,6,7.16,4
4,22,17.3,0,22.44,3
4,23,17.9,0,13.99,2.6
4,24,15.7,13.5,9.05,2.4
4,25,18.1,0,23.21,2.9
4,26,19.2,0,24.08,3
4,27,18.1,0,12.82,2.7
4,28,14.4,22,3.8,2.5
4,29,15.8,0,24.14,5.9
4,30,16,0,24.4,4.1
5,1,18.2,0,22.6,2.1
5,2,17.4,0,17.05,2.8
5,3,20.4,0,20.07,4.9
5,4,22.1,13.5,24.47,6.9
5,5,22.1,0,27.73,3.3
5,6,18.1,2.5,10.41,3.2
5,7,21.2,0,25.91,4.3
5,8,21.3,0,26.7,4
5,9,18.5,19,7.92,3.2
5,10,18.4,6,8.67,2.8
5,11,21.4,5.5,11.6,4.8
5,12,21.7,0,29.45,3.4
5,13,21.2,0,29.18,2.9
5,14,19.8,0,23.4,3.2
5,15,17.6,0,27.54,2.9
5,16,19,0,12.58,4.1
5,17,18.3,31.5,2.25,3.5
5,18,20,0,29.87,2.7
5,19,19.3,0,27.18,3.2
5,20,17.2,0,15.62,2.8
5,21,19.1,0,26.91,2.4
5,22,22.4,0,27.7,2.7
5,23,23.5,0,25.29,2.4
5,24,23.4,0,22.1,3.6
5,25,22.2,0,9.64,5.1
5,26,23,0,14.33,4.5
5,27,19.4,36.5,6.96,3.1
5,28,19.3,0,11.59,1.7
5,29,21.7,0,25.91,3
5,30,17.4,23,5.9,2.4
5,31,20.4,0,20.78,3
6,1,21.5,0,19.58,3.3
6,2,20.7,0,29.8,4.8
6,3,19.4,0,28.19,4
6,4,21.7,0,22.05,4.5
6,5,19.3,3,11.92,2.8
6,6,20,0,10.78,2.6
6,7,19.6,0.5,3.62,2
6,8,21.9,0,21.78,3.1
6,9,21.2,6.5,5.77,1.9
6,10,23.5,0,24.13,2.9
6,11,23.5,0,25.95,3.2
6,12,23.9,0,20.79,3.1
6,13,19.8,98.5,3.46,3.6
6,14,22.2,0,16.95,3
6,15,20.8,0,3.85,2.8
6,16,22.1,7.5,8.14,3.4
6,17,24.2,2.5,24.47,2.5
6,18,26.7,0,28.94,3.4
6,19,24.3,5,16,4
6,20,24.3,4,19.01,2.1
6,21,22.7,10,7.71,1.9
6,22,22.7,0.5,3.65,2.5
6,23,23,9.5,7.71,2.2
6,24,22.7,1.5,6.84,2.9
6,25,25.4,1,7.98,3.8
6,26,25.5,0,24.36,2.7
6,27,24.4,0,27.24,3.2
6,28,19.1,23,3.35,2
6,29,21.5,0.5,5.88,1.9
6,30,23,1,9.32,1.7
7,1,25.6,0,15.25,2.3
7,2,27,0,21.04,3
7,3,29.2,0,22.66,3.3
7,4,27.8,1.5,20.9,2.4
7,5,21.7,0,3.82,3.1
7,6,23.1,0,11.98,2.6
7,7,27.4,0,27.12,3
7,8,25.3,0,14.82,2.3
7,9,22.4,12.5,3.7,3
7,10,25.6,0,25.75,2.6
7,11,28,0,26.83,2.8
7,12,27.1,0,20.86,3.1
7,13,25.1,2,5.48,1.7
7,14,25.9,21,16.46,2.4
7,15,22.2,5.5,3.2,2.6
7,16,24.1,0,14.76,2.4
7,17,25.9,0,6.98,1.8
7,18,28.7,0,22.82,2.7
7,19,27.3,5,18.41,2.8
7,20,26.3,1,17.8,3.3
7,21,21.8,28.5,3.82,2.5
7,22,21.4,3.5,4.17,2.6
7,23,22.4,0,15.45,2.6
7,24,23.9,0,20.61,2.4
7,25,24.7,0,10.99,2.2
7,26,23.8,1,7.73,2.9
7,27,24.5,0,7.95,3
7,28,26.5,0,17.5,2.9
7,29,27.2,0,24.79,3.1
7,30,27.2,0,23.72,2.5
7,31,27.5,0,17.74,3
8,1,27.4,2,11.9,2.4
8,2,25.9,27,11.34,2.4
8,3,26.8,16,17.43,2.5
8,4,28.1,0,21.9,2.9
8,5,28.7,0,24.34,3.1
8,6,29.1,0,22.3,2.7
8,7,28.6,0,25.66,2.9
8,8,28.5,0,15.52,3.4
8,9,31.9,0,23.34,3.6
8,10,29.1,0,17.45,3.1
8,11,27.3,0,17.12,2.5
8,12,26.7,0,19.51,2.9
8,13,26.5,0,20.26,2.7
8,14,26,0,17.96,2.6
8,15,26.6,0.5,8.54,3.5
8,16,26.9,33,13.29,3.1
8,17,28.7,14,24.16,5
8,18,26.9,67,7.4,2.1
8,19,27.6,5,19.77,3.4
8,20,25.7,82,9.06,2.4
8,21,27.9,0,21,3.2
8,22,25.7,106.5,1.73,4.6
8,23,26.8,0.5,11.74,2.8
8,24,26.5,0,10.21,2.3
8,25,28,0,24.5,3
8,26,28.3,0,21.61,2.9
8,27,24.3,2,3.35,3.2
8,28,22.6,2,4.3,2.8
8,29,25.6,16,12.28,2.9
8,30,25.1,40.5,8.69,3.8
8,31,26.8,0,22.2,5.3
9,1,27,0,21.76,2.5
9,2,26.7,0,12.56,2.5
9,3,27.2,0,20.4,2.9
9,4,26.7,3,14.84,2.4
9,5,28.4,0,20.64,3.7
9,6,28.8,0,19.32,4.1
9,7,27.1,4.5,9.23,3.2
9,8,26.4,11.5,9.13,3.5
9,9,27,0,17.61,2.4
9,10,26.6,0,14.81,2.5
9,11,23.2,5,6.86,2.3
9,12,24.7,0,8.77,2.4
9,13,22.6,34.5,2.4,2.1
9,14,23.1,0,6.26,1.8
9,15,24.1,24,6.28,1.9
9,16,22.9,3.5,3.26,1.9
9,17,25.3,0,16.25,2.1
9,18,24.6,2,5.05,2.7
9,19,21.3,21.5,2.18,2.6
9,20,19.1,91.5,2.16,3
9,21,20.1,0,7.62,2.5
9,22,19.4,56.5,3.01,2.4
9,23,20.8,16.5,2.29,1.2
9,24,21.8,10.5,3.89,1.8
9,25,23.6,0,13.36,1.8
9,26,25.4,0,12.22,1.8
9,27,25.6,0,8.57,2
9,28,26.5,0,8.81,2.2
9,29,24.6,0,7.75,2.2
9,30,21.4,2.5,13.34,2.7
10,1,19.7,1.5,3.07,1.8
10,2,23.1,0,18.11,1.9
10,3,22.7,2,3.57,2.3
10,4,24.9,0,14.91,2.1
10,5,24,0.5,6.71,3.1
10,6,26,0,15.44,3.7
10,7,21.4,0,15.51,3.6
10,8,21.2,10,3.23,2.5
10,9,22.3,32.5,3.37,3.9
10,10,18.4,0,6.38,2.7
10,11,17.6,0,7.19,2.2
10,12,17.9,0,16.14,2.2
10,13,16.5,0,4.29,2.7
10,14,15.6,0,11.35,1.9
10,15,16.7,0,17.64,2.3
10,16,17.4,0,11.02,1.9
10,17,17.5,24,2.1,1.9
10,18,20.9,6,12.27,1.8
10,19,20.8,0,8.39,2.3
10,20,21.9,0,16.27,3
10,21,18.2,0,11.8,3
10,22,16.7,0,5.15,2.1
10,23,18.1,0,11.43,2.4
10,24,14.9,0,16.47,2.4
10,25,14,1,6.7,2
10,26,19.1,0,15.07,1.7
10,27,19,0,14.44,3.3
10,28,12.2,18,1.46,2.4
10,29,15.5,0,4.33,2.5
10,30,11.9,1,3.93,2.3
10,31,14.3,0,9.79,1.8
11,1,13.4,10,5.44,2
11,2,10.9,1.5,2.54,2.4
11,3,12.9,3,14.67,2.6
11,4,14,0,14.81,3
11,5,14.6,0,11.88,2.5
11,6,14.8,0,13.83,2.6
11,7,11,0,13.23,3
11,8,9.9,2,6.22,1.8
11,9,10.4,5,11.34,4.9
11,10,9.6,0,6.37,2.9
11,11,9,49,1.73,3.4
11,12,13.6,0,11.13,1.9
11,13,13.6,0,11.93,1.7
11,14,13.7,6,3.9,1.8
11,15,15.3,0,6.52,2.1
11,16,12.5,0,5.4,3.4
11,17,12.6,0,11.76,1.9
11,18,11.3,0,12,2
11,19,9.8,18,1.76,2
11,20,13.6,0,10.54,1.4
11,21,12.6,2.5,2.55,2.3
11,22,14,2,10.27,1.7
11,23,11.4,0,3.63,2.8
11,24,2.8,23,1.11,2.9
11,25,5.6,0,11.98,1.9
11,26,8.3,0,10.57,2.1
11,27,10.6,9.5,4.5,1.8
11,28,11.1,7.5,7.16,3.4
11,29,10.5,0,9.54,3.5
11,30,8.8,0,8.98,2.3
12,1,10,10.5,7.22,2.4
12,2,11.5,0,11.7,2.9
12,3,10.8,0,10.27,1.9
12,4,11.6,2.5,9.18,1.5
12,5,12.7,1.5,10.61,1.7
12,6,10.8,0,11,4
12,7,7.5,0,5.76,2.3
12,8,8.6,0,11.24,2.4
12,9,11.1,0,10.9,3
12,10,8.5,0,11.59,4.1
12,11,6.8,0,11.65,3.3
12,12,7,0,10.08,2.2
12,13,9.4,3,5.57,1.9
12,14,8.1,37,3.11,3.2
12,15,6.2,0,10.78,3.1
12,16,4.8,0,11.44,3.5
12,17,6.7,0,11.22,2.1
12,18,8.2,0,10.04,1.6
12,19,10,0,9.76,1.5
12,20,9.6,0,6.21,1.6
12,21,10.5,0,10.41,1.7
12,22,14.6,10.5,4.53,3.9
12,23,14,7.5,7.72,3.5
12,24,8.6,0,11.06,3.7
12,25,6.6,0,8.04,1.5
12,26,6.9,0,5.73,1.8
12,27,11.1,11.5,1.92,3.4
12,28,6,0,11.89,4.4
12,29,4.3,0,8.42,2.2
12,30,6,0,11.92,3.8
12,31,6.3,0,11.52,1.8